Accession	Samples	Title	Description
GSE152534	6	The cytokine IL-17A limits Th17 pathogenicity via a negative feedback loop driven by autocrine induction of IL-24	Dysregulated Th17 cell responses underlie multiple inflammatory and autoimmune diseases, including autoimmune uveitis and its animal model, EAU. However, clinical trials targeting IL-17A in uveitis were not successful. Here, we found that Th17 cells were regulated by their own signature cytokine, IL-17A. Loss of IL-17A in autopathogenic Th17 cells did not reduce their pathogenicity and instead elevated their expression of the Th17 cell cytokines GM-CSF and IL-17F.
GSE144919	6	Gene expression in Pou5f1:EGFP-positive spermatogonia from Dazl conditional knockout and control males	RNA-seq of sorted Pou5f1:EGFP-positive spermatogonia from adult testes.
GSE154787	4	Next generation sequencing of wild-type and Meis2 otic vesicle transcriptomes	We report the RNAseq analysis of otic vesicles isolated from mouse wild-type and Meis2 mutant embryos at embryonic day 11.5 of development.
GSE117517	8	RNA-seq results in adipose tissues of fat-specific Mecp2 knockout mice	Fat-specific knockout of Mecp2 results in downregulation of adipogenesis genes and upregulation of theromgenesis genes
GSE154676	4	RNA-seq after CD95 gene knockout in 4T1 cells	We examine the differential RNA expression after knocking out CD95/Fas gene in 4T1 cells
GSE154081	12	Comparison of gene expression profiles in hearts exposed to pressure overload (PO) with or without sildenafil treatment in PERK wild type (flx) or PERK cardiac-specific knockout 8cko) mice.	Recently, it is reported that sildenafil suppresses maturation of PO-induced miRNAs. However, the mechanism of how sildenafil coupled NO-cGMP-PKG signaling affects this maturation was not unraveled. Here, we show that PERK-mediated suppression of miRNAs by sildenafil is vital to keep mitochondrial homeostasis, using cardiac-specific PERK knockout (cko) mice.
GSE129020	6	RNA sequencing of wildtype and PHOSPHO1 knockout brown fat	We report the RNA expression of the mature brown fat from 6 week old wild type (WT) and PHOSPHO1 knockout (KO) mice. Mature brown fat was isolated from brown adipose tissue after collagenase digestion.  Increased expression of mitochondrial genes is found in KO brown fat.
GSE119879	12	Lens epithelial cell transcriptome reprogramming at 48 hours post cataract surgery (PCS) in wild type (WT) and Fibronectin Conditional Knockout (FNcKO) mice	This trancriptome analysis reveals the first detailed analysis on how the remnant lens epithelial cells (LECs) greatly reprogram their transcriptome by 48 hours post cataract surgery (PCS) and the dependence of this phenomenom on endogenous fibronectin gene expression.
GSE151706	12	Epidermis Kif3a knockout transcriptome reveals genes involved in skin barrier homeostasis	In order to address Kif3a role in skin barrier, we performed RNA-seq on 8 week old animals and addressed diffferentially expressed genes.
GSE100945	3	RNA-Seq analysis of Pold3 inducible-knockout embryonic stem cells	To investigate the molecular changes and mechanism during loss of Pold3, Pold3 induble-knockout embryonic stem cells at different passages were subjected to RNA-seq analysis. We found that aberrant cell cycle and defective DNA repair were induced by loss of Pold3.
GSE137283	12	FosB-regulated gene expression in venral hippocampo-accumbal projection neurons	We examined here the regulation of gene expression in ventral hippocampus neurons that project to nucleus accumbens (vHPC-NAc) by the transcription factor, ΔFosB. The activity of this circuit is critical to stress-induced social withdrawal. ΔFosB regulates the physiology and behavior of this circuit to produce resilience. Circuit-specific translating ribosomal affinity purification (TRAP) was conducted followed by RNASeq.
GSE118930	6	Genome-wide mapping of active RNA polymerases using precision nuclear run-on (PRO-seq) upon DCP1A knockout	We analyzed the effect of DCP1A knockout on nascent transcripts population in undifferentiated mouse embryonic stem cells
GSE118919	6	Transcriptome-wide analysis upon DCP1A knockout	We analyzed the effect of DCP1A knockout on total RNA population in undifferentiated mouse embryonic stem cells
GSE147466	8	Genetic deletion of microRNA-22 blunts the inflammatory transcriptional response to status epilepticus and exacerbates epilepsy in mice	Mice lacking miR-22 displayed normal behavior and brain structure and developed similar status epilepticus after intraamygdala kainic acid compared to wildtype animals. Subsequent continuous EEG monitoring revealed an accelerated and exacerbated epileptogenesis whereby spontaneous seizures began sooner, occurred more frequently and were of longer duration in miR-22-deficient mice. RNA sequencing analysis of the hippocampus of mice during the period of epileptogenesis revealed a widespread suppression of inflammatory signalling in the hippocampus of miR-22-deficient mice.
GSE148354	4	Fluid-electrolyte homeostasis requires histone deacetylase function	We report the transcriptional changes with knock down of HDAC1 and HDAC2 from the epithelium of the adult mouse kidney
GSE130686	6	RNA-seq of triple knockout (TKO) mouse embryonic stem cells:  Dnmt1-/-, Dnmt3a-/-, Dnmt3b-/-.	TKO mouse embryonic stem cells were cultured in serum/LIF and 2i/LIF in order to investigate the role of methylation in the transcriptional regulation of ground state cells (Clone: TKO 121, Tsumura et.al. 2006).
GSE143598	24	Knockout of reactive astrocyte activating factors slows disease progression in an ALS mouse model	Reactive astrocytes have been implicated in the pathogenesis of neurodegenerative diseases, including a non-cell autonomous effect on motor neuron survival in ALS. We previously defined a mechanism by which microglia release three factors, IL-1α, TNFα, and C1q, to induce neurotoxic astrocytes. Here we report that knocking out these three factors markedly extends survival in the SOD1G93A ALS mouse model, providing evidence for gliosis as a potential ALS therapeutic target.
GSE143206	18	RNA-seq for the tissues of Pcgf6 knockout mice and wild type mice	Polycomb group (PcG) proteins are essential for maintenance of lineage fidelity by coordinating developmental gene expression programs. Polycomb group protein Pcgf6 has been previously reported to repress lineage-specific genes, especially germ cell-related genes in mouse embryonic stem cells (ESCs) via the non- canonical Polycomb repressive complex PRC1. 6. However, the potential mechanism of this repressive activity remains largely unknown.
GSE130864	8	RNA-Seq of whole kidneys of inducible TFAP2B KO mice (b-actinCreERT2+TFAP2Bfl/fl) mice and control littermates	RNA-Seq of kidneys lacking the gene TFAP2B in the nephron; knockdown at 6 weeks of age; assessed at 4-5 months of age
GSE126326	8	RNA-Seq of whole kidneys of P8 Six2Cre+KCTD1fl/fl mice and control littermates	RNA-Seq of kidneys lacking the gene KCTD1 in the nephron
GSE146557	9	RNA sequencing of mouse CT26 knockout Pd-l1 cells rescued with WT or K262Q Pd-l1	Although membrane-anchored Pd-l1 has been well-studied for its engagement with PD-1 on T cells to evade anti-tumor immunity, whether Pd-l1 regulate oncogenic signaling pathways in tumor cells remains elusive. In this experiment, to further dissect roles of the K262 residue acetylation for Pd-l1 nuclear function, we profiled RNA expression of  WT or K262Q mutant mouse Pd-l1 re-expressed in CT26 KO Pd-l1 cells.
GSE148440	35	Molecular and cellular consequences of genetic knockout of Hdac2 and Hdac3 in striatal medium spiny neurons of Huntington's disease knock-in mice	Somatic expansion of the Huntington’s disease (HD) CAG repeat drives the rate of a pathogenic process resulting in neuronal cell death. Although mechanisms of neuronal toxicity are not well delineated, transcriptional dysregulation is a likely contributor. Chromatin modifiers are implicated in both mechanisms of CAG instability and transcriptional dysregulation. Here, we tested whether histone deacetylase genes Hdac2 and Hdac3 modify molecular and cellular phenotypes in HttQ111 knock-in mice using conditional knockouts in striatal medium-spiny striatal neurons (MSNs) exhibiting extensive CAG expansion and exquisite disease vulnerability.
GSE142233	5	GCGR Loss-of-Function Mutations Promote Amino Acid-Dependent Pancreatic Neuroendocrine Tumor Initiation from a Subpopulation of Alpha Cells [single-cell RNA-seq]	Evaluating cell subpopulations in mouse pancreatic islets and pancreatic tumors
GSE142232	23	GCGR Loss-of-Function Mutations Promote Amino Acid-Dependent Pancreatic Neuroendocrine Tumor Initiation from a Subpopulation of Alpha Cells [bulk RNA-seq]	Study gene expression changes in alpha cells and tumors from GCGR knockout mice
GSE148275	6	Transcriptiomics profiling of brown adipose tissue of adipocyte-specific Beclin1 knockout mice	Adipose mRNA profiles of wildetype and Beclin1 knockout (tamoxifen-induced Adipoq-CreER/Beclin1(floxed/floxed)) mice were generated by deep sequencing.
GSE144748	10	Embryonic day 13.5 mRNA profiles for wildtype and MIDEAS and DNTTIP1 knockout MEFs	Objective: Perform deep sequencing on mouse embryonic fibroblasts from e13.5 embryos with wildtype, MIDEAS-/- and DNTTIP1-/- genotypes to provide insights into observed embryonic lethality with associated haemolytic anaemia and heart defects. Method: Heterozygous mates of MIDEAS or DNTTIP1 set up and pregnant females culled at e13.5. MEFs were created from embryos and cultured for 4-6 passages before total RNA extraction and deep sequencing (novogene) to obtain mRNA pofiles.
GSE130642	6	Transcriptomic analysis of hepatic genes in high-fat diet treated wild type and Sesn3 knockout mice	RNA-seq was performed on mRNA samples purified from the liver of wild type (WT) and Sesn3 knockout (KO) mice.
